ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,6069.8590217961155,467.0724517862734,13047.764696159758,6069.8590217961155,6069.8590217961155,642.0742215627712,642.0742215627712,642.0742215627712,642.0742215627712,642.0742215627712,642.0742215627712,0.0,0.0,0.0,6711.933243358887
2023-01-02,6069.125170979657,-384.7452211892349,12097.560118605128,6069.125170979657,6069.125170979657,-83.11677715066448,-83.11677715066448,-83.11677715066448,-83.11677715066448,-83.11677715066448,-83.11677715066448,0.0,0.0,0.0,5986.008393828993
2023-01-04,6067.657469346742,-443.2962271259401,12094.478112098428,6067.657469346742,6067.657469346742,-199.9511142082341,-199.9511142082341,-199.9511142082341,-199.9511142082341,-199.9511142082341,-199.9511142082341,0.0,0.0,0.0,5867.706355138508
2023-01-05,6066.923618530283,-291.2737120202811,12465.058316529881,6066.923618530283,6066.923618530283,42.1268497689364,42.1268497689364,42.1268497689364,42.1268497689364,42.1268497689364,42.1268497689364,0.0,0.0,0.0,6109.05046829922
2023-01-06,6066.189767713826,85.87206177346813,12503.998441090973,6066.189767713826,6066.189767713826,147.3299989631578,147.3299989631578,147.3299989631578,147.3299989631578,147.3299989631578,147.3299989631578,0.0,0.0,0.0,6213.519766676984
2023-01-07,6065.455916897367,13.416147592524794,12180.702236571658,6065.455916897367,6065.455916897367,55.782772118318476,55.782772118318476,55.782772118318476,55.782772118318476,55.782772118318476,55.782772118318476,0.0,0.0,0.0,6121.238689015686
2023-01-08,6064.72206608091,711.5688560394411,12952.46113898272,6064.72206608091,6064.72206608091,642.0742215632037,642.0742215632037,642.0742215632037,642.0742215632037,642.0742215632037,642.0742215632037,0.0,0.0,0.0,6706.796287644113
2023-01-09,6063.988215264452,-82.45423078874704,11928.266717281605,6063.988215264452,6063.988215264452,-83.11677715107992,-83.11677715107992,-83.11677715107992,-83.11677715107992,-83.11677715107992,-83.11677715107992,0.0,0.0,0.0,5980.871438113372
2023-01-10,6063.254364447994,-558.3155563583076,11946.34350557728,6063.254364447994,6063.254364447994,-604.2459510551673,-604.2459510551673,-604.2459510551673,-604.2459510551673,-604.2459510551673,-604.2459510551673,0.0,0.0,0.0,5459.008413392827
2023-01-11,6062.520513631536,-7.853944309220669,11790.152924030708,6062.520513631536,6062.520513631536,-199.95111420911783,-199.95111420911783,-199.95111420911783,-199.95111420911783,-199.95111420911783,-199.95111420911783,0.0,0.0,0.0,5862.569399422418
2023-01-13,6061.052811998621,-385.9180791479172,12660.871909022937,6061.052811998621,6061.052811998621,147.32999896283908,147.32999896283908,147.32999896283908,147.32999896283908,147.32999896283908,147.32999896283908,0.0,0.0,0.0,6208.382810961461
2023-01-14,6060.318961182164,211.6557769037028,12213.825690885056,6060.318961182164,6060.318961182164,55.78277211852622,55.78277211852622,55.78277211852622,55.78277211852622,55.78277211852622,55.78277211852622,0.0,0.0,0.0,6116.101733300689
2023-01-15,6059.585110365705,433.9272014480686,12964.709292965694,6059.585110365705,6059.585110365705,642.0742215630306,642.0742215630306,642.0742215630306,642.0742215630306,642.0742215630306,642.0742215630306,0.0,0.0,0.0,6701.659331928736
2023-01-16,6058.8512595492475,-148.74536385478996,11993.453983924603,6058.8512595492475,6058.8512595492475,-83.11677714897341,-83.11677714897341,-83.11677714897341,-83.11677714897341,-83.11677714897341,-83.11677714897341,0.0,0.0,0.0,5975.734482400274
2023-01-17,6058.117408732789,-366.94283022624165,11565.477026332852,6058.117408732789,6058.117408732789,-604.245951054444,-604.245951054444,-604.245951054444,-604.245951054444,-604.245951054444,-604.245951054444,0.0,0.0,0.0,5453.871457678345
2023-01-18,6057.3835579163315,-251.3511086101949,12361.066106585844,6057.3835579163315,6057.3835579163315,-199.95111420843187,-199.95111420843187,-199.95111420843187,-199.95111420843187,-199.95111420843187,-199.95111420843187,0.0,0.0,0.0,5857.432443707899
2023-01-19,6056.649707099874,-156.63740285887005,12603.109583375825,6056.649707099874,6056.649707099874,42.12684976868857,42.12684976868857,42.12684976868857,42.12684976868857,42.12684976868857,42.12684976868857,0.0,0.0,0.0,6098.776556868563
2023-01-20,6055.915856283415,213.3154158871928,12580.61974524946,6055.915856283415,6055.915856283415,147.32999896282035,147.32999896282035,147.32999896282035,147.32999896282035,147.32999896282035,147.32999896282035,0.0,0.0,0.0,6203.245855246236
2023-01-21,6055.182005466958,-244.3227211285384,12016.18652903441,6055.182005466958,6055.182005466958,55.78277211907324,55.78277211907324,55.78277211907324,55.78277211907324,55.78277211907324,55.78277211907324,0.0,0.0,0.0,6110.964777586031
2023-01-22,6054.448155549233,240.82301970474293,12901.48448769888,6054.448155549233,6054.448155549233,642.0742215628577,642.0742215628577,642.0742215628577,642.0742215628577,642.0742215628577,642.0742215628577,0.0,0.0,0.0,6696.522377112091
2023-01-24,6052.980455713786,-1095.179304153212,12148.814944392578,6052.980455713786,6052.980455713786,-604.2459510537211,-604.2459510537211,-604.2459510537211,-604.2459510537211,-604.2459510537211,-604.2459510537211,0.0,0.0,0.0,5448.734504660065
2023-01-25,6052.246605796062,2.504617218671153,12331.485024964768,6052.246605796062,6052.246605796062,-199.95111420872567,-199.95111420872567,-199.95111420872567,-199.95111420872567,-199.95111420872567,-199.95111420872567,0.0,0.0,0.0,5852.295491587336
2023-01-26,6051.512755878337,-138.0534302958339,12519.55213324695,6051.512755878337,6051.512755878337,42.12684976856465,42.12684976856465,42.12684976856465,42.12684976856465,42.12684976856465,42.12684976856465,0.0,0.0,0.0,6093.639605646902
2023-01-27,6050.778905960614,-271.8635876165447,12277.584383903111,6050.778905960614,6050.778905960614,147.32999896298097,147.32999896298097,147.32999896298097,147.32999896298097,147.32999896298097,147.32999896298097,0.0,0.0,0.0,6198.108904923595
2023-01-29,6049.311206125166,382.30918186713023,13421.173849499732,6049.311206125166,6049.311206125166,642.0742215626846,642.0742215626846,642.0742215626846,642.0742215626846,642.0742215626846,642.0742215626846,0.0,0.0,0.0,6691.38542768785
2023-01-30,6048.577356207442,-495.99702364833365,12500.161988293736,6048.577356207442,6048.577356207442,-83.11677714980435,-83.11677714980435,-83.11677714980435,-83.11677714980435,-83.11677714980435,-83.11677714980435,0.0,0.0,0.0,5965.460579057638
2023-01-31,6047.843506289718,-779.7779598176066,11774.303726655458,6047.843506289718,6047.843506289718,-604.2459510540531,-604.2459510540531,-604.2459510540531,-604.2459510540531,-604.2459510540531,-604.2459510540531,0.0,0.0,0.0,5443.597555235665
2023-02-01,6047.109656371994,125.82773430479983,12313.846691554832,6047.109656371994,6047.109656371994,-199.9511142105892,-199.9511142105892,-199.9511142105892,-199.9511142105892,-199.9511142105892,-199.9511142105892,0.0,0.0,0.0,5847.1585421614045
2023-02-02,6046.375806454271,-418.65640501596937,11971.410656237746,6046.375806454271,6046.375806454271,42.12684976844074,42.12684976844074,42.12684976844074,42.12684976844074,42.12684976844074,42.12684976844074,0.0,0.0,0.0,6088.502656222711
2023-02-03,6045.641956536546,-276.4707421003079,12614.27365617383,6045.641956536546,6045.641956536546,147.32999896326223,147.32999896326223,147.32999896326223,147.32999896326223,147.32999896326223,147.32999896326223,0.0,0.0,0.0,6192.971955499808
